,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
2025,Land Rover Range Rover IV Рестайлинг,16000000,2021,21400,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,56025
2026,Volkswagen Touareg III,5690000,2019,46000,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,синий,Volkswagen,4,34650
2027,LADA (ВАЗ) Vesta SW I,980000,2019,58709,передний,106,Бензин,универсал 5 дв.,механика,1.6,коричневый,LADA,1,2650
2028,Volkswagen Passat B8,2550000,2019,19158,передний,150,Бензин,седан,робот,1.4,белый,Volkswagen,3,6750
2029,Volkswagen Tiguan I Рестайлинг,1570000,2015,105523,полный,170,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Volkswagen,2,7650
2030,Nissan X-Trail III Рестайлинг,3120000,2021,21188,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,Nissan,4,8464
2031,Hyundai Tucson III Рестайлинг,2390000,2018,60380,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Hyundai,3,6750
2032,Volkswagen Polo V Рестайлинг,1240000,2019,92318,передний,110,Бензин,седан,автомат,1.6,чёрный,Volkswagen,2,2750
2033,LADA (ВАЗ) 2105,70000,1999,20000,задний,71,Бензин,седан,механика,1.5,синий,LADA,1,852
2034,Nissan X-Trail III Рестайлинг,2880000,2021,24857,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,Nissan,3,7695
2035,Volkswagen Tiguan II Рестайлинг,2470000,2020,63156,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,Volkswagen,3,6750
2036,Skoda Kodiaq I,3895000,2020,25601,полный,180,Бензин,внедорожник 5 дв.,робот,2.0,синий,Skoda,4,9900
2037,Kia Rio IV,1390000,2018,59506,передний,123,Бензин,седан,автомат,1.6,серый,Kia,2,3075
2038,Kia Rio IV Рестайлинг,2500000,2021,164,передний,123,Бензин,седан,автомат,1.6,белый,Kia,3,3075
2039,Kia Carnival IV,4999000,2023,24,передний,199,Дизель,минивэн,автомат,2.2,чёрный,Kia,4,10945
2040,Renault Logan II Рестайлинг,1050000,2021,21445,передний,82,Бензин,седан,механика,1.6,белый,Renault,2,984
2041,Mercedes-Benz GLS 400 d II (X167),17900000,2022,100,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
2042,Nissan X-Trail III,1820000,2016,132130,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,белый,Nissan,3,7695
2043,Ford Focus III Рестайлинг,1320000,2019,64918,передний,105,Бензин,седан,механика,1.6,белый,Ford,2,2625
2044,Toyota Land Cruiser 200 Series Рестайлинг 2,5795000,2015,126600,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,4,18675
2045,Ford Focus II,330000,2005,230814,передний,100,Бензин,седан,механика,1.6,серебристый,Ford,1,2500
2046,Volkswagen Polo V Рестайлинг,1290000,2018,71541,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2047,Renault Logan II,990000,2017,97853,передний,102,Бензин,седан,автомат,1.6,белый,Renault,2,2550
2048,Kia Rio IV Рестайлинг,1860000,2022,26271,передний,123,Бензин,седан,автомат,1.6,белый,Kia,3,3075
2049,Volkswagen Polo V Рестайлинг,900000,2016,195707,передний,110,Бензин,седан,автомат,1.6,серый,Volkswagen,1,2750
2050,Nissan X-Trail III Рестайлинг,3130000,2021,15520,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,Nissan,4,8464
2051,Nissan Terrano III (D10),1320000,2016,32140,передний,114,Бензин,внедорожник 5 дв.,механика,1.6,серый,Nissan,2,2850
2052,Skoda Octavia III (A7) Рестайлинг,1820000,2019,44634,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,3,2750
2053,Volkswagen Polo V Рестайлинг,1190000,2017,108647,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2054,Renault Logan II Рестайлинг,1050000,2021,21612,передний,82,Бензин,седан,механика,1.6,белый,Renault,2,984
2055,Skoda Octavia III (A7) Рестайлинг,1850000,2020,56545,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,3,6750
2056,Kia Ceed II Рестайлинг,1330000,2016,56468,передний,135,Бензин,хэтчбек 5 дв.,робот,1.6,коричневый,Kia,2,4725
2057,Volkswagen Polo V Рестайлинг,950000,2017,147143,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,1,2750
2058,Kia Rio IV,1220000,2019,169661,передний,123,Бензин,седан,автомат,1.6,белый,Kia,2,3075
2059,Kia Rio X-Line IV,1550000,2019,83157,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,Kia,2,3075
2060,Nissan X-Trail III Рестайлинг,2735000,2022,11779,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,синий,Nissan,3,5040
2061,Kia Sportage IV,2250000,2018,80146,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,Kia,3,6750
2062,Nissan Qashqai I Рестайлинг,1250000,2013,101148,передний,141,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,Nissan,2,4935
2063,Skoda Rapid I Рестайлинг,1330000,2018,91252,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2064,Renault Logan Stepway II Рестайлинг,1130000,2019,101455,передний,113,Бензин,седан,вариатор,1.6,красный,Renault,2,2825
2065,Volkswagen Polo V Рестайлинг,995000,2018,160216,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2066,Hyundai Solaris II,1420000,2018,69000,передний,100,Бензин,седан,автомат,1.4,белый,Hyundai,2,2500
2067,LADA (ВАЗ) Largus I,680000,2014,215133,передний,105,Бензин,универсал 5 дв.,механика,1.6,бежевый,LADA,1,2625
2068,Hyundai Solaris II Рестайлинг,1850000,2022,10115,передний,123,Бензин,седан,автомат,1.6,белый,Hyundai,3,3075
2069,Renault Logan II,820000,2018,133884,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2070,Toyota RAV4 IV (XA40),1950000,2014,75200,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,Toyota,3,5110
2071,Hyundai Creta II,2280000,2021,1305,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Hyundai,3,6750
2072,Mercedes-Benz C-Класс 180 I (W202),300000,1996,289000,задний,122,Бензин,седан,автомат,1.8,синий,Mercedes-Benz,1,3050
2073,Volkswagen Polo V Рестайлинг,1100000,2018,133633,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2074,Kia Rio IV,1215000,2018,86786,передний,123,Бензин,седан,автомат,1.6,белый,Kia,2,3075
2075,Chevrolet Niva I Рестайлинг,810000,2018,75500,полный,80,Бензин,внедорожник 5 дв.,механика,1.7,чёрный,Chevrolet,1,960
2076,Skoda Octavia III (A7) Рестайлинг,1680000,2018,66139,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
2077,Skoda Rapid I Рестайлинг,950000,2018,170009,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2078,Volkswagen Polo V Рестайлинг,999000,2017,127927,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2079,Chevrolet Rezzo,370000,2006,99819,передний,90,Бензин,компактвэн,механика,1.6,бежевый,Chevrolet,1,1080
2080,Volkswagen Polo V Рестайлинг,1330000,2018,63429,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2081,Renault Logan II Рестайлинг,859000,2018,108365,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2082,Kia Rio IV,1320000,2020,97906,передний,123,Бензин,седан,автомат,1.6,белый,Kia,2,3075
2083,Hyundai Creta I,1820000,2018,23288,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2084,Nissan Qashqai I Рестайлинг,920000,2010,179299,передний,141,Бензин,внедорожник 5 дв.,вариатор,2.0,коричневый,Nissan,1,4935
2085,Nissan Teana II Рестайлинг,1095000,2012,157000,передний,249,Бензин,седан,вариатор,3.5,пурпурный,Nissan,2,18675
2086,Hyundai Solaris II,1420000,2018,38197,передний,100,Бензин,седан,автомат,1.4,белый,Hyundai,2,2500
2087,Renault Logan II Рестайлинг,869000,2018,100481,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2088,Suzuki Grand Vitara III Рестайлинг,1000000,2008,235000,полный,169,Бензин,внедорожник 5 дв.,автомат,2.4,серый,Suzuki,2,7605
2089,BMW 5 серии 530d xDrive VII (G30/G31),3800000,2018,127957,полный,249,Дизель,седан,автомат,3.0,чёрный,BMW,4,18675
2090,Nissan X-Trail II Рестайлинг,1350000,2014,118860,полный,141,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,Nissan,2,4935
2091,Hyundai Creta II,2375000,2021,24119,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,красный,Hyundai,3,3075
2092,Mercedes-Benz GLE 400 d II (V167),13290000,2023,50,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,Mercedes-Benz,5,148500
2093,BMW 6 серии Gran Turismo 630d xDrive IV (G32),5750000,2020,55600,полный,249,Дизель,лифтбек,автомат,3.0,чёрный,BMW,4,37350
2094,Skoda Octavia III (A7) Рестайлинг,1550000,2017,169842,передний,150,Бензин,лифтбек,робот,1.4,синий,Skoda,2,6750
2095,Hyundai Creta I,1820000,2018,68756,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,Hyundai,3,3075
2096,Kia K5 III,3000000,2020,62000,передний,194,Бензин,седан,автомат,2.5,синий,Kia,3,9700
2097,LADA (ВАЗ) Niva Legend,1099000,2022,12103,полный,83,Бензин,внедорожник 5 дв.,механика,1.7,серебристый,LADA,2,996
2098,Audi Q7 45 TDI II (4M) Рестайлинг,6700000,2019,39000,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Audi,5,34650
2099,Volkswagen Tiguan II,1830000,2019,50700,передний,125,Бензин,внедорожник 5 дв.,механика,1.4,пурпурный,Volkswagen,3,4375
2100,BMW 3 серии 330d xDrive VII (G2x),4099999,2019,91000,полный,265,Дизель,седан,автомат,3.0,серый,BMW,4,39750
2101,Opel Astra J,695000,2011,152000,передний,140,Бензин,хэтчбек 5 дв.,автомат,1.4,синий,Opel,1,4900
2102,Nissan X-Trail III Рестайлинг,3150000,2021,29402,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,Nissan,4,5544
2103,Haval F7x I,2299000,2021,17480,полный,150,Бензин,внедорожник 5 дв.,робот,1.5,серый,Haval,3,6750
2104,Skoda Rapid I Рестайлинг,1050000,2017,179239,передний,125,Бензин,лифтбек,робот,1.4,синий,Skoda,2,4375
2105,Volkswagen Polo V Рестайлинг,1200000,2017,133786,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2106,Volkswagen Polo V Рестайлинг,1270000,2018,60785,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2107,Volkswagen Polo V Рестайлинг,1239000,2018,50078,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2108,Renault Logan II Рестайлинг,799000,2018,116763,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2109,Hyundai Creta I,1900000,2018,77885,передний,149,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Hyundai,3,5215
2110,Hyundai Creta II,2200000,2021,16014,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2111,Nissan X-Trail III Рестайлинг,3390000,2021,14000,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,белый,Nissan,4,8464
2112,Renault Logan II Рестайлинг,1030000,2021,28626,передний,82,Бензин,седан,механика,1.6,белый,Renault,2,984
2113,Hyundai Solaris I Рестайлинг,850000,2014,110305,передний,107,Бензин,седан,механика,1.4,серебристый,Hyundai,1,2675
2114,Skoda Rapid I Рестайлинг,1420000,2018,65430,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2115,Skoda Rapid I,820000,2016,154085,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2116,Skoda Rapid I Рестайлинг,1390000,2018,80266,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2117,Hyundai Creta I,1730000,2019,60283,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2118,Hyundai Solaris II,1287000,2017,63358,передний,123,Бензин,седан,механика,1.6,белый,Hyundai,2,3075
2119,Skoda Octavia III (A7),1020000,2014,104064,передний,105,Бензин,лифтбек,механика,1.2,белый,Skoda,2,2625
2120,Skoda Rapid I Рестайлинг,1080000,2017,183272,передний,125,Бензин,лифтбек,робот,1.4,синий,Skoda,2,4375
2121,Volkswagen Polo V Рестайлинг,1230000,2018,86848,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2122,Volkswagen Polo V Рестайлинг,1350000,2018,93526,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2123,Skoda Rapid I Рестайлинг,1150000,2018,158467,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2124,Kia Rio IV,1470000,2019,114629,передний,123,Бензин,седан,автомат,1.6,белый,Kia,2,3075
2125,Volkswagen Polo V Рестайлинг,1270000,2017,92352,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2126,Skoda Octavia II (A5) Рестайлинг,619000,2011,215573,передний,122,Бензин,лифтбек,механика,1.4,серый,Skoda,1,3050
2127,Skoda Rapid I Рестайлинг,859000,2017,157090,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2128,Hyundai Creta I,1829000,2018,51380,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2129,Renault Logan II Рестайлинг,960000,2019,109450,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2130,Skoda Rapid I Рестайлинг,850000,2017,184954,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2131,Toyota Camry VI (XV40),999999,2007,113000,передний,167,Бензин,седан,автомат,2.4,серый,Toyota,2,7515
2132,Renault Logan II Рестайлинг,970000,2018,87594,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2133,Hyundai Creta II,2290000,2021,32502,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2134,Skoda Rapid I Рестайлинг,895000,2017,169657,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2135,Kia Carnival III,3025000,2018,72450,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,3,13130
2136,Skoda Rapid I Рестайлинг,980000,2017,167364,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
2137,Honda CR-V III,1090000,2008,171257,полный,166,Бензин,внедорожник 5 дв.,автомат,2.4,коричневый,Honda,2,7470
2138,Audi Q5 I (8R),1230000,2009,232000,полный,239,Дизель,внедорожник 5 дв.,робот,3.0,серый,Audi,2,17925
2139,Hyundai Santa Fe IV,3350000,2019,89100,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,синий,Hyundai,4,13000
2140,Hyundai Creta I,1950000,2019,44680,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2141,Skoda Octavia III (A7) Рестайлинг,1760000,2018,92276,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,3,2750
2142,Kia Rio X-Line IV,1620000,2020,45060,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,оранжевый,Kia,2,3075
2143,Hyundai Terracan I,645000,2001,284000,полный,101,Дизель,внедорожник 5 дв.,автомат,2.5,серый,Hyundai,1,2525
2144,Hyundai Solaris I,625000,2013,231000,передний,123,Бензин,седан,автомат,1.6,серый,Hyundai,1,3075
2145,Skoda Octavia III (A7),1300000,2015,151395,передний,110,Бензин,лифтбек,механика,1.6,белый,Skoda,2,2750
2146,Hyundai Creta I,1790000,2019,99799,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2147,Kia Sportage III,1300000,2012,184227,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,бежевый,Kia,2,6750
2148,Volkswagen Polo V Рестайлинг,1269000,2017,69958,передний,110,Бензин,седан,автомат,1.6,чёрный,Volkswagen,2,2750
2149,Jaguar XJ IV (X351) Рестайлинг,3450000,2017,90000,полный,340,Бензин,седан,автомат,3.0,чёрный,Jaguar,4,51000
2150,Toyota Avensis II Рестайлинг,900000,2008,54000,передний,129,Бензин,седан,автомат,1.8,коричневый,Toyota,1,4515
2151,LADA (ВАЗ) 2115,100000,2005,150000,передний,81,Бензин,седан,механика,1.6,серый,LADA,1,972
2152,Opel Meriva B Рестайлинг,1050007,2014,87180,передний,120,Бензин,компактвэн,автомат,1.4,жёлтый,Opel,2,3000
2153,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,4790000,2017,72280,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,синий,Toyota,4,8850
2154,BMW X7 30d I (G07),9800000,2019,80000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,5,37350
2155,Skoda Octavia III (A7) Рестайлинг,1950000,2019,89907,передний,150,Бензин,лифтбек,робот,1.4,коричневый,Skoda,3,6750
2156,Skoda Octavia III (A7) Рестайлинг,1620000,2019,70110,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
2157,Volkswagen Polo V Рестайлинг,990000,2016,97181,передний,90,Бензин,седан,механика,1.6,чёрный,Volkswagen,2,1080
2158,Nissan X-Trail III Рестайлинг,3000000,2021,16484,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,Nissan,3,5040
2159,Skoda Octavia III (A7) Рестайлинг,1450000,2018,141545,передний,150,Бензин,лифтбек,робот,1.4,серебристый,Skoda,2,6750
2160,Porsche Boxster S II (987),2377000,2004,77000,задний,280,Бензин,родстер,автомат,3.2,серебристый,Porsche,3,42000
2161,Skoda Rapid I Рестайлинг,1015000,2017,155809,передний,125,Бензин,лифтбек,робот,1.4,синий,Skoda,2,4375
2162,Volkswagen Polo V Рестайлинг,1170000,2018,79053,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2163,Skoda Octavia III (A7) Рестайлинг,1670000,2018,114680,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2164,Volvo V40 II Рестайлинг,1799000,2018,86000,передний,120,Дизель,хэтчбек 5 дв.,автомат,2.0,серый,Volvo,3,3000
2165,Hyundai Creta I,1980000,2019,57386,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2166,Skoda Octavia III (A7) Рестайлинг,1650000,2019,115089,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
2167,Volkswagen Polo V Рестайлинг,1260000,2018,46853,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2168,Hyundai Creta I,1680000,2018,100256,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,2,3075
2169,Hyundai Creta I,1920000,2018,74709,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2170,Skoda Karoq DSG6 I,2345000,2020,43500,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,Skoda,3,6750
2171,Skoda Octavia DSG7 II (A5) Рестайлинг,749000,2011,219849,передний,152,Бензин,лифтбек,робот,1.8,серый,Skoda,1,6840
2172,Renault Logan II Рестайлинг,900000,2018,80423,передний,82,Бензин,седан,механика,1.6,белый,Renault,1,984
2173,Volkswagen Polo V Рестайлинг,1199000,2017,67959,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2174,Hyundai Creta I,1800000,2018,95178,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2175,Skoda Octavia III (A7) Рестайлинг,1599000,2018,129049,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2176,Volkswagen Polo V Рестайлинг,929000,2017,202769,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,1,2750
2177,Land Rover Discovery IV,1926000,2012,221000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,3,18375
2178,Lexus LX 570 III Рестайлинг 2,10500000,2019,76736,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,Lexus,5,165150
2179,Land Rover Range Rover Velar I,5690000,2021,74000,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,синий,Land Rover,4,37350
2180,Audi A6 II (C5),449000,2000,200356,передний,150,Бензин,универсал 5 дв.,автомат,1.8,синий,Audi,1,6750
2181,BMW 6 серии Gran Turismo 620d xDrive IV (G32),4700000,2018,31972,полный,190,Дизель,лифтбек,автомат,2.0,чёрный,BMW,4,9500
2182,Volkswagen Polo V Рестайлинг,1299000,2018,65767,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2183,Skoda Octavia III (A7) Рестайлинг,1420000,2018,175061,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
2184,Volkswagen Polo V Рестайлинг,1199000,2017,100142,передний,110,Бензин,седан,автомат,1.6,чёрный,Volkswagen,2,2750
2185,BMW 5 серии 520d VII (G30/G31),2950000,2019,186102,задний,190,Дизель,седан,автомат,2.0,чёрный,BMW,3,9500
2186,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217) Рестайлинг",24500000,2018,40252,полный,612,Бензин,кабриолет,автомат,4.0,серый,Mercedes-Benz,5,275400
2187,Volkswagen Polo V Рестайлинг,1290000,2018,63545,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2188,Nissan X-Trail III Рестайлинг,2790000,2021,86500,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,Nissan,3,7695
2189,Skoda Superb III Рестайлинг,2150000,2019,194998,передний,190,Бензин,лифтбек,робот,2.0,коричневый,Skoda,3,9500
2190,Hyundai Creta II,2170000,2021,26959,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2191,Lexus LX 600 IV,17000000,2022,63,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,серый,Lexus,5,186750
2192,Volkswagen Polo V Рестайлинг,1200000,2017,81069,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
2193,Volkswagen Polo V Рестайлинг,1300000,2018,50251,передний,110,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2750
2194,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217)",19500000,2017,17743,полный,585,Бензин,кабриолет,автомат,5.5,белый,Mercedes-Benz,5,263250
2195,Hyundai Creta I,1750000,2018,88492,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2196,Hyundai Creta I,1740000,2018,81959,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2197,BMW X1 20d xDrive II (F48),2250000,2017,100000,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,BMW,3,9500
2198,Cadillac Escalade ESV V,18500000,2022,7,полный,420,Бензин,внедорожник 5 дв.,автомат,6.2,чёрный,Cadillac,5,189000
2199,Ford Focus I Рестайлинг,85000,2004,180000,передний,98,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,Ford,1,1176
2200,Mercedes-Benz Maybach S-Класс 500 I (X222),6100000,2017,66000,полный,455,Бензин,седан,автомат,4.7,чёрный,Mercedes-Benz,5,68250
2201,Kia Mohave I Рестайлинг 2,4400000,2020,31000,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Kia,4,42900
2202,LADA (ВАЗ) Priora I,235000,2009,287278,передний,81,Бензин,седан,механика,1.6,серый,LADA,1,972
2203,Ford Focus II Рестайлинг,490000,2008,250000,передний,80,Бензин,хэтчбек 3 дв.,механика,1.4,белый,Ford,1,960
2204,Land Rover Range Rover Sport II Рестайлинг,6900000,2018,97000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,красный,Land Rover,5,157500
2205,Kia Cerato IV Рестайлинг,2950000,2022,11711,передний,150,Бензин,седан,автомат,2.0,белый,Kia,3,6750
2206,Skoda Rapid I Рестайлинг,1370000,2018,84371,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
2207,Chevrolet Niva I Рестайлинг,660000,2017,115000,полный,80,Бензин,внедорожник 5 дв.,механика,1.7,зелёный,Chevrolet,1,960
2208,Lexus LX 570 III Рестайлинг 2,8800000,2019,87662,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,белый,Lexus,5,110100
2209,Hyundai Creta II,2035000,2021,20599,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Hyundai,3,3075
2210,Kia Rio X-Line IV,1509000,2019,75000,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,Kia,2,3075
2211,Mercedes-Benz GL-Класс 350 CDI BlueTEC II (X166),3095000,2014,149589,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Mercedes-Benz,4,18675
2212,Mercedes-Benz CLS 400 II (C218) Рестайлинг,2128000,2015,180500,полный,333,Бензин,универсал 5 дв.,автомат,3.0,серый,Mercedes-Benz,3,49950
2213,BMW X7 M60i I (G07) Рестайлинг,19000000,2022,50,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,серый,BMW,5,238500
2214,EXEED TXL I Рестайлинг,3520000,2022,1647,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,фиолетовый,EXEED,4,10230
2215,Bentley Bentayga Speed I,22900000,2019,9400,полный,635,Бензин,внедорожник 5 дв.,автомат,6.0,синий,Bentley,5,285750
2216,Bentley Continental GT II,6999000,2012,14900,полный,507,Бензин,купе,автомат,4.0,чёрный,Bentley,5,76050
2217,Infiniti FX37 II (S51),1579500,2010,122500,полный,333,Бензин,внедорожник 5 дв.,автомат,3.7,чёрный,Infiniti,2,49950
2218,Renault Symbol I Рестайлинг 2,300000,2007,256000,передний,98,Бензин,седан,автомат,1.4,чёрный,Renault,1,1176
2219,Mercedes-Benz GLC 250 d I (X253),3010000,2017,136860,полный,204,Дизель,внедорожник 5 дв.,автомат,2.1,чёрный,Mercedes-Benz,3,13260
2220,BMW 5 серии 530d VII (G30/G31),3400000,2018,65529,задний,265,Дизель,универсал 5 дв.,автомат,3.0,синий,BMW,4,39750
2221,BMW X5 M III (F95),12350000,2021,22707,полный,600,Бензин,внедорожник 5 дв.,автомат,4.4,синий,BMW,5,270000
2222,BMW 3 серии 320i VII (G2x),2890000,2020,80000,задний,184,Бензин,седан,автомат,2.0,синий,BMW,3,9200
2223,Mercedes-Benz V-Класс L 250 d длинный II,8599000,2021,39313,полный,190,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,5,19000
2224,Porsche Boxster S IV 718 (982),5790000,2016,43203,задний,350,Бензин,родстер,робот,2.5,белый,Porsche,4,52500
2225,BMW 1 серии 118i I (E81/E82/E87/E88) Рестайлинг,779000,2011,160761,задний,136,Бензин,хэтчбек 3 дв.,автомат,2.0,красный,BMW,1,4760
2226,Land Rover Range Rover Evoque 6-speed I,1879000,2013,170500,полный,150,Дизель,внедорожник 5 дв.,автомат,2.2,красный,Land Rover,3,6750
2227,Kia Sorento II Рестайлинг,2000000,2019,189549,полный,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,Kia,3,8750
