,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
227,BMW 5 серии 520d xDrive VII (G30/G31),2499000,2018,189000,полный,190,Дизель,универсал 5 дв.,автомат,2.0,серый,
228,Smart Fortwo II,1000000,2014,63000,задний,84,Бензин,кабриолет,робот,1.0,красный,
229,Ford Mustang VI Рестайлинг,2995000,2020,68759,задний,317,Бензин,кабриолет,автомат,2.3,красный,
230,Renault Duster I Рестайлинг,1599000,2020,55000,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
231,Ford Focus II Рестайлинг,265000,2008,304000,передний,100,Бензин,хэтчбек 3 дв.,механика,1.6,белый,
232,Mercedes-Benz V-Класс XL 300 d экстра длинный II,32850000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
233,Hyundai Tucson IV,3188000,2023,20,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
234,Nissan Almera Classic I,465000,2012,200000,передний,107,Бензин,седан,автомат,1.6,чёрный,
235,Lexus GS 350 IV,2350000,2014,58150,полный,317,Бензин,седан,автомат,3.5,белый,
236,LADA (ВАЗ) Largus I,959000,2019,55000,передний,106,Бензин,универсал 5 дв.,механика,1.6,белый,
237,Mercedes-Benz V-Класс XL 300 d экстра длинный II,38200000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
238,Kia Carnival III,3320000,2020,67893,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
239,Mercedes-Benz V-Класс XL 300 d экстра длинный II,40700000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
240,LADA (ВАЗ) 2114,135000,2008,208000,передний,81,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,
241,Hyundai Tucson III Рестайлинг,2437000,2018,67025,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
242,Kia Rio IV,952000,2018,233878,передний,123,Бензин,седан,автомат,1.6,чёрный,
243,Mercedes-Benz V-Класс XL 300 d экстра длинный II,13445000,2022,15,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
244,"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",4590000,2017,16424,полный,333,Бензин,купе-хардтоп,автомат,3.0,чёрный,
245,Nissan Qashqai II,1599000,2016,103000,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,красный,
246,Kia Carnival III,3398000,2018,54667,передний,202,Дизель,минивэн,автомат,2.2,белый,
247,Hyundai Tucson IV,3388000,2022,20,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
248,EXEED VX I,5279900,2022,80,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,синий,
249,Audi A6 IV (C7) Рестайлинг,1880000,2016,116000,полный,249,Бензин,седан,робот,2.0,коричневый,
250,Kia Carnival IV,4980000,2021,28540,передний,202,Дизель,минивэн,автомат,2.2,белый,
251,Kia Carnival III,3080000,2019,53238,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
252,Mitsubishi Lancer Evolution V,1550000,1998,99999,полный,280,Бензин,седан,механика,2.0,зелёный,
253,Toyota Camry VIII (XV70),2750000,2018,99300,передний,249,Бензин,седан,автомат,3.5,синий,
254,Audi Q8 45 TDI I,7990000,2020,15280,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
255,Ferrari F8 Tributo,26800000,2021,3300,задний,720,Бензин,купе,робот,3.9,синий,
256,Ford Focus III,755000,2011,178420,передний,150,Бензин,седан,робот,2.0,серый,
257,Chevrolet Camaro VI Рестайлинг,2790000,2019,68100,задний,275,Бензин,купе,автомат,2.0,серый,
258,Skoda Kodiaq I,2407000,2019,183108,полный,150,Дизель,внедорожник 5 дв.,робот,2.0,чёрный,
259,Ford Escape II,895000,2011,198222,полный,171,Бензин,внедорожник 5 дв.,автомат,2.5,чёрный,
260,Mercedes-Benz M-Класс 400 III (W166),2190000,2013,168000,полный,333,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,
261,Toyota Camry VIII (XV70) Рестайлинг,3040000,2022,202,передний,204,Бензин,седан,автомат,2.5,коричневый,
262,Mercedes-Benz V-Класс XL 300 d экстра длинный II,13445000,2022,15,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
263,Kia Sportage IV,1890000,2018,245010,полный,185,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
264,Haval Jolion I,2225000,2022,5860,передний,143,Бензин,внедорожник 5 дв.,робот,1.5,голубой,
265,Kia Carnival III,2890000,2018,77539,передний,202,Дизель,минивэн,автомат,2.2,белый,
266,Kia Carnival III,3100000,2019,52553,передний,202,Дизель,минивэн,автомат,2.2,белый,
267,Mercedes-Benz G-Класс AMG 63 AMG I (W463) Рестайлинг 3,8490000,2017,29208,полный,571,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,
268,Audi A6 IV (C7) Рестайлинг,1880000,2016,116000,полный,249,Бензин,седан,робот,2.0,коричневый,
269,Haval F7 I,2039000,2020,70000,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,чёрный,
270,Mitsubishi Lancer Evolution V,1550000,1998,99999,полный,280,Бензин,седан,механика,2.0,зелёный,
271,Mercedes-Benz GLK-Класс 300 I (X204) Рестайлинг,1710000,2013,148000,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,коричневый,
272,Hyundai Creta I,1736000,2018,66668,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,
273,Nissan X-Trail III Рестайлинг,2325000,2019,46157,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,
274,LADA (ВАЗ) Largus I,765000,2017,97000,передний,87,Бензин,фургон,механика,1.6,белый,
275,Toyota Camry VIII (XV70),2750000,2018,99300,передний,249,Бензин,седан,автомат,3.5,синий,
276,SsangYong Actyon II,872717,2012,189429,полный,149,Дизель,внедорожник 5 дв.,автомат,2.0,красный,
277,Kia Rio IV,1670000,2020,42799,передний,123,Бензин,седан,автомат,1.6,белый,
278,Skoda Kodiaq I,2657000,2019,50464,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,
279,Opel Astra J,643000,2012,192888,передний,140,Бензин,хэтчбек 5 дв.,автомат,1.4,белый,
280,Audi Q8 45 TDI I,7990000,2020,15280,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
281,Mercedes-Benz G-Класс AMG 63 AMG II (W463),35860000,2022,40,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,золотистый,
282,Ferrari F8 Tributo,26800000,2021,3300,задний,720,Бензин,купе,робот,3.9,синий,
283,Hyundai Creta I,1645000,2018,111289,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,
284,Chevrolet Camaro VI Рестайлинг,2790000,2019,68100,задний,275,Бензин,купе,автомат,2.0,серый,
285,Mercedes-Benz GLE Coupe 350 d I (C292),3899000,2016,113000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
286,Mitsubishi Outlander III Рестайлинг,1610000,2014,136530,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
287,Hyundai ix35 I Рестайлинг,1390000,2014,157267,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,
288,Hyundai Grand Starex I,1189000,2008,172000,задний,145,Дизель,минивэн,автомат,2.5,серебристый,
289,Ford Escape II,895000,2011,198222,полный,171,Бензин,внедорожник 5 дв.,автомат,2.5,чёрный,
290,Mercedes-Benz GLS 400 d II (X167),14640000,2022,16,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
291,Mercedes-Benz GLE Coupe 400 d II (C167),13475000,2022,81,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
292,Chery Tiggo 4 I Рестайлинг,1735000,2020,38000,передний,122,Бензин,внедорожник 5 дв.,механика,2.0,серый,
293,Kia Soul III,2320000,2021,19564,передний,150,Бензин,хэтчбек 5 дв.,автомат,2.0,синий,
294,Hyundai Grand Starex I Рестайлинг 2,3690000,2019,44000,полный,175,Дизель,минивэн,автомат,2.5,коричневый,
295,Kia Ceed III,1852000,2019,60867,передний,140,Бензин,универсал 5 дв.,робот,1.4,белый,
296,Hyundai Grand Starex I Рестайлинг 2,3489000,2018,44000,полный,175,Дизель,минивэн,автомат,2.5,серый,
297,Mercedes-Benz EQE 350+,10170000,2022,16700,задний,292,Электро,седан,,,белый,Заряд на 654 км
298,Hyundai Grand Starex I Рестайлинг 2,3690000,2019,44000,полный,175,Дизель,минивэн,автомат,2.5,коричневый,
299,Kia Rio IV,1490000,2019,59000,передний,123,Бензин,седан,автомат,1.6,красный,
300,Tesla Model Y Long Range I,4500000,2021,15500,полный,345,Электро,внедорожник 5 дв.,,,белый,Заряд на 451 км
301,Kia Ceed III,1852000,2019,60867,передний,140,Бензин,универсал 5 дв.,робот,1.4,белый,
302,Porsche Panamera 4S Executive II,8000000,2017,60000,полный,440,Бензин,хэтчбек 5 дв.,робот,2.9,чёрный,
303,Hyundai Grand Starex I Рестайлинг 2,3489000,2018,44000,полный,175,Дизель,минивэн,автомат,2.5,серый,
304,BMW X5 50i II (E70) Рестайлинг,3850000,2011,70000,полный,407,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
305,Hyundai Grand Starex I Рестайлинг 2,3727000,2018,41000,полный,175,Дизель,минивэн,автомат,2.5,коричневый,
306,Hyundai Creta I Рестайлинг,1918000,2020,31440,передний,149,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
307,Mercedes-Benz CLS 400 II (C218) Рестайлинг,2150000,2014,178000,полный,333,Бензин,универсал 5 дв.,автомат,3.0,чёрный,
308,Mercedes-Benz GLS AMG 63 AMG I (X166),4700000,2016,142176,полный,585,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,
309,Kia Sportage V,4200000,2021,19150,передний,186,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
310,Hyundai Grand Starex I Рестайлинг 2,3280000,2018,90000,полный,175,Дизель,минивэн,автомат,2.5,серый,
311,Hyundai Grand Starex I Рестайлинг 2,2848000,2018,58705,задний,175,Дизель,минивэн,автомат,2.5,чёрный,
312,Hyundai Staria,5400000,2022,15000,полный,177,Дизель,минивэн,автомат,2.2,белый,
313,Hyundai Grand Starex I Рестайлинг 2,3210000,2018,57566,полный,175,Дизель,минивэн,автомат,2.5,серый,
314,Hyundai Palisade I,5790000,2022,91,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
315,Hyundai Palisade I,5390000,2021,3600,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
316,Opel Vectra A,115000,1995,355555,передний,71,Бензин,лифтбек,механика,1.6,чёрный,
317,Ford Focus II Рестайлинг,618000,2010,122592,передний,125,Бензин,хэтчбек 5 дв.,механика,1.8,фиолетовый,
